player,minutes,goals,goals90,aerialsWon,aerials90,tackles,tackles90,seasonStarting
Gylfi SigurdssonSwansea,3329,9,0.243316311,7,0.18924602,45,1.216581556,2016
Michail AntonioWest Ham,2440,9,0.331967213,57,2.102459016,31,1.143442623,2016
PedroChelsea,2151,9,0.376569038,7,0.292887029,48,2.008368201,2016
Adam LallanaLiverpool,2350,8,0.306382979,22,0.842553191,51,1.953191489,2016
Christian EriksenTottenham,3167,8,0.22734449,21,0.596779286,45,1.278812757,2016
Manuel LanziniWest Ham,2716,8,0.265095729,4,0.132547865,44,1.45802651,2016
Mesut ÖzilArsenal,2848,8,0.252808989,7,0.221207865,25,0.79002809,2016
Salomón RondónWest Bromwich Albion,2896,8,0.248618785,107,3.325276243,17,0.528314917,2016
WillianChelsea,1531,8,0.470280862,1,0.058785108,19,1.116917048,2016
Andy CarrollWest Ham,1314,7,0.479452055,163,11.16438356,5,0.342465753,2016
Divock OrigiLiverpool,1460,7,0.431506849,31,1.910958904,11,0.678082192,2016
Etienne CapoueWatford,3213,7,0.196078431,33,0.924369748,61,1.708683473,2016
Gabriel JesusManchester City,651,7,0.967741935,8,1.105990783,5,0.69124424,2016
Islam SlimaniLeicester,1280,7,0.4921875,54,3.796875,12,0.84375,2016
James MilnerLiverpool,3160,7,0.199367089,56,1.594936709,94,2.67721519,2016
Junior StanislasBournemouth,1476,7,0.426829268,15,0.914634146,14,0.853658537,2016
Nathan RedmondSouthampton,2909,7,0.216569268,14,0.433138536,39,1.206600206,2016
Peter CrouchStoke,1336,7,0.471556886,171,11.51946108,4,0.269461078,2016
Raheem SterlingManchester City,2517,7,0.250297974,12,0.429082241,23,0.822407628,2016
Robert SnodgrassHull,1712,7,0.367990654,15,0.788551402,26,1.36682243,2016
Wilfried ZahaCrystal Palace,3025,7,0.208264463,13,0.38677686,75,2.231404959,2016
André AyewWest Ham,1442,6,0.374479889,21,1.310679612,17,1.061026352,2016
Ashley BarnesBurnley,1779,6,0.303541315,101,5.109612142,21,1.062394604,2016
Benik AfobeBournemouth,1454,6,0.371389271,40,2.475928473,9,0.557083906,2016
Callum WilsonBournemouth,1367,6,0.395025604,5,0.329188003,6,0.395025604,2016
Charlie AustinSouthampton,939,6,0.575079872,43,4.121405751,14,1.341853035,2016
Gareth McAuleyWest Bromwich Albion,3143,6,0.171810372,113,3.235762011,50,1.431753102,2016
Gary CahillChelsea,3296,6,0.163834951,91,2.484830097,52,1.419902913,2016
Georginio WijnaldumLiverpool,2978,6,0.181329752,39,1.178643385,46,1.390194762,2016
Joe AllenStoke,2936,6,0.183923706,22,0.674386921,88,2.697547684,2016
Juan MataManchester United,1628,6,0.331695332,4,0.221130221,21,1.160933661,2016
Kevin De BruyneManchester City,2885,6,0.187175043,14,0.436741768,49,1.528596187,2016
Leroy FerSwansea,2405,6,0.224532225,75,2.806652807,55,2.058212058,2016
Marcos AlonsoChelsea,2694,6,0.200445434,73,2.438752784,58,1.937639198,2016
Marko ArnautovicStoke,2725,6,0.198165138,13,0.429357798,32,1.056880734,2016
Riyad MahrezLeicester,2837,6,0.19034191,21,0.666196687,36,1.142051463,2016
Cesc FàbregasChelsea,1328,5,0.338855422,9,0.609939759,30,2.03313253,2016
